EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1133.61	200.0	0.00320437	-1.04778	-1.33325729638	-1.17155735565	639600
-1137.43	200.0	0.0078147	-1.04754	-1.59787764792	-1.72338642959	642200
-1117.91	200.0	0.0026643	-1.04792	-1.86886917388	-2.03816548697	644800
-1045.75	200.0	0.00185201	-1.04752	-1.38143013318	-1.25639982225	647400
-968.342	200.0	0.000992621	-1.04777	-1.72083942528	-1.68776939268	650000
-1081.79	200.0	0.0030436	-1.04833	-1.27946405163	-1.5761957249	652600
-991.27	200.0	0.0099438	-1.05094	-1.28437476176	-1.01060066324	655200
-1014.55	200.0	0.00573696	-1.05206	-0.951617915165	-1.34656859057	657800
-1025.54	200.0	0.00287616	-1.05215	-1.55694664637	-1.63802672191	660400
-1087.51	200.0	0.00341693	-1.05305	-1.20102977686	-1.08216970712	663000
-1129.92	200.0	0.00187126	-1.05418	-1.08777330405	-1.29083896924	665600
-1219.32	200.0	0.000842596	-1.0546	-0.904845198656	-0.709918772659	668200
-1095.91	200.0	0.00156116	-1.05387	-0.853910316536	-1.09356685662	670800
-1145.99	200.0	0.00161569	-1.05312	-1.00367137102	-0.853197961876	673400
-1207.68	200.0	0.000734732	-1.05258	-0.610897138015	-0.48657715651	676000
-1206.36	200.0	0.00191347	-1.05148	-0.591499468321	-0.736215956576	678600
-1217.13	200.0	0.00108109	-1.05118	-0.631629686223	-0.535277847213	681200
-1185.09	200.0	9.77056e-05	-1.05048	-0.584241106351	-0.677559069551	683800
-1157.96	200.0	0.00111951	-1.05407	-0.715308777514	-0.749411318294	686400
-1195.85	200.0	0.00307307	-1.05893	-0.744992650379	-0.587667472714	689000
-1208.34	200.0	0.00489766	-1.06113	-0.513079964519	-0.503333441647	691600
-1158.14	200.0	0.00296161	-1.06138	-0.518225978491	-0.662579699136	694200
-1133.2	200.0	0.00238837	-1.06091	-0.592819723333	-0.52031123471	696800
-1211.14	200.0	0.00266588	-1.05792	-0.615688744778	-0.616592758624	699400
-1232.7	200.0	0.00254921	-1.05741	-0.447323315718	-0.386367386922	702000
-1186.1	200.0	0.00144484	-1.05428	-0.464481217556	-0.572874305252	704600
